Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Service,Packet Size
10:35:21,192.168.1.10,8.8.8.8,UDP,54321,53,DNS,80
10:35:22,192.168.1.15,142.250.80.46,TCP,49200,80,HTTP,512
10:35:23,192.168.1.20,1.1.1.1,UDP,61234,53,DNS,76
10:35:24,192.168.1.10,142.250.80.46,TCP,49201,443,HTTPS,1024
10:35:25,192.168.1.100,13.107.42.14,TCP,50100,443,HTTPS,896
10:35:26,10.0.0.5,8.8.4.4,UDP,55000,53,DNS,84
10:35:27,192.168.1.15,151.101.1.69,TCP,49300,443,HTTPS,768
10:35:28,192.168.1.20,8.8.8.8,ICMP,0,0,ICMP-Echo,64
10:35:29,10.0.0.12,142.250.80.46,TCP,51000,80,HTTP,340
10:35:30,172.16.0.3,1.1.1.1,UDP,60001,53,DNS,88
10:35:31,192.168.1.10,13.107.42.14,TCP,49400,443,HTTPS,1200
10:35:32,192.168.1.100,8.8.8.8,UDP,56789,53,DNS,72
10:35:33,10.0.0.5,151.101.1.69,TCP,52000,443,HTTPS,980
10:35:34,192.168.1.15,8.8.8.8,ICMP,0,0,ICMP-Echo,64
10:35:35,192.168.1.20,142.250.80.46,TCP,49500,8080,HTTP-Alt,450
10:35:36,10.0.0.12,13.107.42.14,TCP,53000,443,HTTPS,1100
10:35:37,172.16.0.3,8.8.4.4,UDP,57000,53,DNS,80
10:35:38,192.168.1.10,151.101.1.69,TCP,49600,443,HTTPS,700
10:35:39,192.168.1.100,1.1.1.1,ICMP,0,0,ICMP-Echo,64
10:35:40,10.0.0.5,142.250.80.46,TCP,54000,80,HTTP,600
